from,to,count
0,2344,799
2345,2735,598
2736,3125,648
3126,3516,802
3517,3907,802
3908,4103,916
4104,4201,618
4202,4298,430
4299,4347,608
4348,4493,682
4494,4688,418
4689,5079,989
5080,5469,715
5470,5665,673
5666,5860,656
5861,6250,876
6251,6641,936
6642,6837,523
6838,7032,508
7033,7423,884
7424,7813,952
7814,7911,168
7912,8009,926
8010,8204,535
8205,8399,472
8400,8594,858
8595,8790,790
8791,8985,417
8986,9180,987
9181,9375,636
9376,9571,640
9572,9766,416
9767,9864,732
9865,9962,450
9963,10060,811
10061,10157,357
10158,10255,915
10256,10353,527
10354,10548,824
10549,10646,316
10647,10743,732
10744,10841,585
10842,10938,441
10939,11036,611
11037,11134,439
11135,11183,904
11184,11329,971
11330,11524,886
11525,11622,827
11623,11915,816
11916,12110,637
12111,12305,553
12306,12500,955
12501,12696,954
12697,12891,999
12892,13087,832
13088,13282,667
13283,13478,855
13479,13868,943
13869,14015,983
14016,14063,253
14064,14454,874
14455,14844,584
14845,15236,663
15237,15237,1203
15238,15460,803
15461,15461,1090
15462,15625,350
15626,15723,920
15724,15821,631
15822,16016,427
16017,16407,960
16408,16701,689
16702,16750,813
16751,16762,574
16763,16763,1089
16764,16993,987
16994,17286,610
17287,17384,849
17385,17579,832
17580,17774,376
17775,17969,746
17970,18360,929
18361,18409,828
18410,18611,332
18612,18614,827
18615,18653,627
18654,18750,961
18751,19190,728
19191,19239,948
19240,19532,312
19533,19923,983
19924,20021,384
20022,20313,962
20314,20411,617
20412,20509,993
20510,21094,847
21095,21485,784
21486,21875,814
21876,22462,737
22463,22560,434
22561,22657,701
22658,23243,768
23244,23341,436
23342,23829,953
23830,24024,427
24025,24219,963
24220,24610,418
24611,25000,590
25001,25391,614
25392,25782,656
25783,26271,945
26272,26357,76
26358,26358,1073
26359,27149,869
27150,27344,881
27345,28125,988
28126,28907,615
28908,29688,503
29689,29786,970
29787,30469,496
30470,31250,557
31251,31446,752
31447,31544,431
31545,31641,725
31642,32032,511
32033,32521,726
32522,32618,986
32619,33594,973
33595,34375,906
34376,35157,598
35158,36719,856
36720,37110,660
37111,39063,897
39064,40625,689
40626,42188,982
42189,43750,410
43751,46875,939
46876,50000,696
50001,56250,989
56251,75000,953
75001,87500,517
87501,100000,568